TwitchToolkit - Log - Saturday, July 30, 2022
nightbot gets 30 * 0 coins, total 0
streamelements gets 30 * 0 coins, total 0
business_daddy gets 30 * 0 coins, total 0
nightbot gets 30 * 0 coins, total 0
streamelements gets 30 * 0 coins, total 0
business_daddy gets 30 * 0 coins, total 0
nightbot gets 30 * 0 coins, total 0
streamelements gets 30 * 0 coins, total 0
business_daddy gets 30 * 0 coins, total 0
nightbot gets 30 * 0 coins, total 0
streamelements gets 30 * 0 coins, total 0
business_daddy gets 30 * 0 coins, total 0
nightbot gets 30 * 0 coins, total 0
streamelements gets 30 * 0 coins, total 0
business_daddy gets 30 * 0 coins, total 0
solar_cerberus gets 40 * 1.25 coins, total 50
nightbot gets 30 * 0 coins, total 0
streamelements gets 30 * 0 coins, total 0
business_daddy gets 30 * 0 coins, total 0
solar_cerberus gets 40 * 1.25 coins, total 50
nightbot gets 30 * 0 coins, total 0
streamelements gets 30 * 0 coins, total 0
business_daddy gets 30 * 0 coins, total 0
solar_cerberus gets 40 * 1.25 coins, total 50
nightbot gets 30 * 0 coins, total 0
streamelements gets 30 * 0 coins, total 0
business_daddy gets 30 * 0 coins, total 0
solar_cerberus gets 40 * 1.25 coins, total 50
streamelements gets 30 * 0 coins, total 0
business_daddy gets 30 * 0 coins, total 0
solar_cerberus gets 40 * 1.25 coins, total 50
nightbot gets 30 * 0 coins, total 0
streamelements gets 33 * 1.05 coins, total 35
business_daddy gets 30 * 0 coins, total 0
solar_cerberus gets 40 * 1.25 coins, total 50
solar_bot_ gets 30 * 1 coins, total 30
Purchase solar_cerberus: !buy agavefruit 30 @ 2:22 PM
nightbot gets 30 * 0 coins, total 0
streamelements gets 33 * 0.525 coins, total 18
business_daddy gets 30 * 0 coins, total 0
solar_cerberus gets 40 * 1.25 coins, total 50
solar_cerberus's karma went from 100 to 104
nightbot gets 30 * 0 coins, total 0
streamelements gets 33 * 0.525 coins, total 18
business_daddy gets 30 * 0 coins, total 0
solar_cerberus gets 40 * 1.3 coins, total 52
nightbot gets 30 * 0 coins, total 0
streamelements gets 33 * 0.525 coins, total 18
business_daddy gets 30 * 0 coins, total 0
solar_cerberus gets 40 * 1.3 coins, total 52
